Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Age Group,Salary Band,Experience Level,Employee Tenure Group,Attrition Percentage,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,Employee Risk Category
41,1,0.7425265337769018,1,2,1,2,1.3831382668932737,3,2,4,-0.10834951351067117,0.7260199409380492,8,11,3,1,0,8,0,1,6,4,0,5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,36-45,,Mid Level,Experienced Employee,0.07,Travel Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Medium Risk
49,0,-1.2977746019136118,8,1,2,3,-0.2406767700620191,2,2,2,-0.29171858995657424,1.4888761391146892,1,23,4,4,1,10,3,3,10,7,1,7,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,46-55,,Mid Level,Experienced Employee,0.0,Travel Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,Low Risk
37,1,1.4143632382387843,2,2,4,4,1.2847252343505287,2,1,3,-0.9376536912260358,-1.6748408610979753,6,15,3,2,0,7,3,3,0,0,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,36-45,,Mid Level,,0.07,Travel Rarely,Research & Development,Other,Male,Laboratory Technician,Single,Medium Risk
33,0,1.4614661806180305,3,4,5,4,-0.4867093514188816,3,1,3,-0.7636336754564013,1.2432105837696696,1,11,3,3,0,8,3,3,8,7,3,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,26-35,,Mid Level,Experienced Employee,0.0,Travel Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,Medium Risk
27,0,-0.5242947060017769,2,1,7,1,-1.2740136117608418,3,1,2,-0.6448581091374443,0.3258998974213038,9,12,3,4,1,6,3,3,2,2,2,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,26-35,,Mid Level,New Employee,0.0,Travel Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Low Risk
32,0,0.5020536174196967,2,2,8,4,0.645040522822686,3,1,4,-0.7298495698307945,-0.34419928329096944,0,13,3,3,0,8,2,2,7,7,3,6,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,26-35,,Mid Level,Experienced Employee,0.0,Travel Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Medium Risk
59,0,1.2928872289449382,3,3,10,3,0.743453555365431,4,1,1,-0.814416073220678,-0.6112270608399039,4,20,4,1,3,12,3,2,1,0,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,55+,,Senior Level,New Employee,0.0,Travel Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,High Risk
30,0,1.3771767047814845,24,1,11,4,0.05456232756621595,3,1,3,-0.8095290642308104,-0.1374635670938734,1,22,4,2,1,1,2,3,1,0,0,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,Low Risk
38,0,-1.4539580424342708,23,3,12,4,-1.0771875466753518,2,3,3,0.6423375630633446,-0.7766437419846911,0,21,4,2,0,10,2,3,9,7,1,8,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,36-45,Low Salary,Mid Level,Experienced Employee,0.0,Travel Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Low Risk
36,0,1.230909673182772,27,3,13,3,1.3831382668932737,3,2,3,-0.2689833742211031,0.31817014596593995,6,13,3,2,2,17,3,2,7,7,7,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,36-45,,Senior Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,Medium Risk
